编号,经度,纬度,所属行政区,维护联系人,联系人联系方式,联系人所属部门,监控点名称,使用部门,公安业务,摄像机类型,应用场所,分辨率,是否有拾音器,监控点方向,是否有PTZ,安装位置,是否启用,建设类型,初装日期,监控点描述,制造商,监控点型号,接入汇接点名称,汇接点负责人,监控点IP,位置类型,所属行业,警种,使用性质,监控点所属设备名称,监控点主要作用,标注更新日期,标注更新人,20位编码,32位编码,监控点被访问次数,监控点通道号
65,116.97466,33.63844,,,,,YQ028大河南西街西仙桥社区卫生服务站对面看东:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向东,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,YQ028大河南西街西仙桥社区卫生服务站对面看东,,,,,55030000000000000011200065200000,2,0
66,116.9741,33.63823,,,,,YQ027大河南西街41号金彭电动车对面电杆看西:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向西,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,YQ027大河南西街41号金彭电动车对面电杆看西,,,,,55030000000000000011200065100000,2,0
67,,,,,,,NG178家乐福东北角:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.8.178,室内,,,,NG178家乐福东北角,,,,,55030000000000000011200065000000,1,0
68,116.97572,33.63739,,,,,NG091淮海路金泰家具城北5米轩冉门前看东:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向东,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,NG091淮海路金泰家具城北5米轩冉门前看东,,,,,55030000000000000011200064900000,1,0
69,116.97076,33.63325,,,,,NG053汴河路中国联通门前绿化带灯杆看西:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向西,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,NG053汴河路中国联通门前绿化带灯杆看西,,,,,55030000000000000011200064800000,1,0
70,116.97438,33.62377,,,,,NG042淮海南路与淮河路往西人民武警东二十米看东:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向东,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,NG042淮海南路与淮河路往西人民武警东二十米看东,,,,,55030000000000000011200064700000,1,0
71,116.96671,33.62264,,,,,NG022西昌南路淮河路交口东南角公交站牌旁看北:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向北,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,NG022西昌南路淮河路交口东南角公交站牌旁看北,,,,,55030000000000000011200064600000,1,0
72,116.9678,33.62,,,,,NG019纺织路与西昌南路交口九中北门对面看西巷口:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向西,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,NG019纺织路与西昌南路交口九中北门对面看西巷口,,,,,55030000000000000011200064500000,2,0
73,116.9678,33.62,,,,,NG018纺织路与西昌南路交口九中北门对面西侧看学校门口:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向西,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,NG018纺织路与西昌南路交口九中北门对面西侧看学校门口,,,,,55030000000000000011200064400000,0,0
74,116.96981,33.62316,,,,,NG003芳园路南苑小区斜对面西北角电箱上南墙看南:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向南,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,NG003芳园路南苑小区斜对面西北角电箱上南墙看南,,,,,55030000000000000011200064300000,2,0
75,116.9659,33.61546,,,,,NG001西昌南路祁东新村南侧西门停车场对面看东:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向东,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,NG001西昌南路祁东新村南侧西门停车场对面看东,,,,,55030000000000000011200064200000,2,0
76,116.98926,33.59596,,,,,JH188外环一路与宿怀路交口(向西):1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向西,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,JH188外环一路与宿怀路交口(向西),,,,,55010000000000000011200049600000,1,0
77,116.99043,33.61953,,,,,JH101纺织路与高织东路交口东北角东23米看南:1,宿州市公安局,,枪机,"主要交通要道,",超清(1080P以上),否,朝向东,否,",",启用,,,,kedacom,,,,,室外,,,,JH101纺织路与高织东路交口东北角东23米看南,,,,,55010000000000000011200049500000,1,0
78,116.94304,33.61021,,,,,JH022拂晓大道与外环南路交口西南角增加一个看南:1,宿州市公安局,,枪机,"主要交通要道,",超清(1080P以上),否,朝向东,否,",",启用,,,,kedacom,,,,,室外,,,,JH022拂晓大道与外环南路交口西南角增加一个看南,,,,,55010000000000000011200049400000,0,0
79,116.96484,33.602,,,,,JH008西昌路与外环二路交口西南角南30米看南:1,宿州市公安局,,枪机,"主要交通要道,",超清(1080P以上),否,朝向东,否,",",启用,,,,kedacom,,,,,室外,,,,JH008西昌路与外环二路交口西南角南30米看南,,,,,55010000000000000011200049300000,1,0
80,116.94216,33.63893,,,,,SANB065宿永路三八街道办事处西侧10米看东:1,宿州市公安局,,枪机,"主要交通要道,",超清(1080P以上),否,朝向东,否,",",启用,,,,kedacom,,,,,室外,,,,SANB065宿永路三八街道办事处西侧10米看东,,,,,55010000000000000011200049200000,1,0
81,116.95051,33.62421,,,,,SANB022淮河路与磬云路交口西北角花坛看广场（球）:1,宿州市公安局,,枪机,"主要交通要道,",超清(1080P以上),否,朝向东,否,",",启用,,,,kedacom,,,,,室外,,,,SANB022淮河路与磬云路交口西北角花坛看广场（球）,,,,,55010000000000000011200049100000,1,0
82,116.94793,33.63414,,,,,SANB011汴河路三十处菜市街交口北侧看西人行道:1,宿州市公安局,,枪机,"主要交通要道,",超清(1080P以上),否,朝向东,否,",",启用,,,,kedacom,,,,,室外,,,,SANB011汴河路三十处菜市街交口北侧看西人行道,,,,,55010000000000000011200049000000,1,0
83,116.94793,33.63414,,,,,SANB010汴河路三十处菜市街交口北侧看南菜市口:1,宿州市公安局,,枪机,"主要交通要道,",超清(1080P以上),否,朝向东,否,",",启用,,,,kedacom,,,,,室外,,,,SANB010汴河路三十处菜市街交口北侧看南菜市口,,,,,55010000000000000011200048900000,1,0
84,116.944,33.63428,,,,,SANB008拂晓大道与汴河路交口舒美时尚门前看西:1,宿州市公安局,,枪机,"主要交通要道,",超清(1080P以上),否,朝向东,否,",",启用,,,,kedacom,,,,,室外,,,,SANB008拂晓大道与汴河路交口舒美时尚门前看西,,,,,55010000000000000011200048800000,1,0
85,116.95051,33.63895,,,,,XG117西关大街第二小学门前:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向东,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,XG117西关大街第二小学门前,,,,,55020000000000000011200042100000,0,0
86,116.98151,33.6367,,,,,DG065三期顺河东路与东昌路交口东30米电杆看西:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向西,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,DG065三期顺河东路与东昌路交口东30米电杆看西,,,,,55030000000000000011200064100000,3,0
87,116.97084,33.60701,,,,,JH179外环路与淮海南路交口西南角看北:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向北,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,JH179外环路与淮海南路交口西南角看北,,,,,55010000000000000011200048700000,1,0
88,116.97084,33.60701,,,,,JH178外环路与淮海南路交口东南角看西:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向西,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,JH178外环路与淮海南路交口东南角看西,,,,,55010000000000000011200048600000,1,0
89,116.98814,33.63782,,,,,DG009三期宿怀路皇朝娱乐会所后墙看东:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向东,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,DG009三期宿怀路皇朝娱乐会所后墙看东,,,,,55030000000000000011200064000000,1,0
90,116.98878,33.63944,,,,,DG005三期火车站进站口西南电动车停放处看进站口:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向西南,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,DG005三期火车站进站口西南电动车停放处看进站口,,,,,55030000000000000011200063900000,5,0
91,116.98215,33.63877,,,,,DG076三期环城东路与东关大街交口东北角看东:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向东,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,DG076三期环城东路与东关大街交口东北角看东,,,,,55030000000000000011200063800000,1,0
92,116.99249,33.5845,,,,,JH81206国道刘建超市门前公交车站旁电杆看南:1,,,,,,否,,否,,启用,,,,kedacom,,,,34.36.26.81,室内,,,,JH081206国道刘建超市门前公交车站旁电杆看南,,,,,55010000000000000011200048500000,0,0
93,116.99096,33.59064,,,,,JH079206国道种子仓储加工中心南孟家巷内50米看西:1,宿州市公安局,,枪机,"主要交通要道,",超清(1080P以上),否,朝向东,否,",",启用,,,,kedacom,,,,,室外,,,,JH079206国道种子仓储加工中心南孟家巷内50米看西,,,,,55010000000000000011200048400000,2,0
94,116.98672,33.60147,,,,,JH126206国道威力斯通轮胎门前北侧电杆看南巷口:1,宿州市公安局,,枪机,"主要交通要道,",超清(1080P以上),否,朝向东,否,",",启用,,,,kedacom,,,,,室外,,,,JH126206国道威力斯通轮胎门前北侧电杆看南巷口,,,,,55010000000000000011200048300000,1,0
95,117.00293,33.63227,,,,,TH68挂车厂门口（沱河派出所对面）:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向北,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,TH68挂车厂门口（沱河派出所对面）,,,,,55040000000000000011200021700000,1,0
96,116.98489,33.67352,,,,,BH10三期汴北村黄家庄叉路口北侧电杆看南路口:1,110,,枪机,"重要交通路口,",高清(720P-1080P),否,朝向南,否,"安徽省宿州市墉桥区,",启用,,,,kedacom,,,,,室外,,,,BH10三期汴北村黄家庄叉路口北侧电杆看南路口,,,,,55040000000000000011200021600000,1,0
97,117.00536,33.62354,,,,,JH057三期淮河路高架桥东侧小区北门东侧看西:1,宿州市公安局,,枪机,"主要交通要道,",超清(1080P以上),否,朝向东,否,",",启用,,,,kedacom,,,,,室外,,,,JH057三期淮河路高架桥东侧小区北门东侧看西,,,,,55010000000000000011200048200000,1,0
